playtype,result,shot_type,game_date,period,time_remaining,shot_distance
Pullup Jump shot,Missed Shot,2PT Field Goal,12/3/18,1,8:00,13
Jump Shot,Missed Shot,3PT Field Goal,12/3/18,1,6:36,25
Pullup Jump shot,Missed Shot,2PT Field Goal,12/3/18,2,10:42,18
Jump Shot,Missed Shot,2PT Field Goal,12/3/18,2,10:25,7
Pullup Jump shot,Made Shot,3PT Field Goal,12/3/18,2,7:57,25
Cutting Layup Shot,Made Shot,2PT Field Goal,12/3/18,2,7:29,1
Step Back Jump shot,Missed Shot,2PT Field Goal,12/3/18,2,2:41,21
Cutting Layup Shot,Made Shot,2PT Field Goal,12/3/18,2,2:16,1
Jump Shot,Made Shot,3PT Field Goal,12/3/18,2,1:04,24
Pullup Jump shot,Missed Shot,2PT Field Goal,12/3/18,2,10:06,20
Turnaround Fadeaway shot,Made Shot,2PT Field Goal,12/3/18,3,11:28,8
Jump Shot,Made Shot,2PT Field Goal,12/3/18,3,9:50,17
Jump Shot,Made Shot,3PT Field Goal,12/3/18,3,7:57,25
Jump Shot,Missed Shot,3PT Field Goal,12/3/18,3,6:21,23
Turnaround Jump Shot,Made Shot,2PT Field Goal,12/3/18,4,11:00,13
Driving Layup Shot,Missed Shot,2PT Field Goal,12/3/18,4,8:18,8
Driving Floating Bank Jump Shot,Made Shot,2PT Field Goal,12/3/18,4,7:41,14
Fadeaway Jump Shot,Made Shot,2PT Field Goal,12/3/18,4,6:19,10
Pullup Jump shot,Missed Shot,2PT Field Goal,12/3/18,4,5:03,12
Step Back Jump shot,Made Shot,2PT Field Goal,12/5/18,1,11:42,16
Jump Shot,Missed Shot,3PT Field Goal,12/5/18,1,8:53,30
Layup Shot,Made Shot,2PT Field Goal,12/5/18,1,8:32,1
Jump Shot,Missed Shot,2PT Field Goal,12/5/18,1,4:44,14
Turnaround Jump Shot,Missed Shot,2PT Field Goal,12/5/18,2,10:55,10
Step Back Jump shot,Missed Shot,2PT Field Goal,12/5/18,2,10:09,15
Jump Shot,Missed Shot,3PT Field Goal,12/5/18,2,1:26,25
Jump Shot,Missed Shot,3PT Field Goal,12/5/18,3,11:24,24
Turnaround Fadeaway shot,Missed Shot,2PT Field Goal,12/5/18,4,10:11,17
Jump Shot,Made Shot,3PT Field Goal,12/5/18,4,9:47,25
Jump Shot,Missed Shot,2PT Field Goal,12/5/18,4,8:22,19
Jump Shot,Missed Shot,2PT Field Goal,12/5/18,4,8:10,22
Jump Shot,Missed Shot,3PT Field Goal,12/5/18,4,7:42,26
Jump Shot,Made Shot,3PT Field Goal,12/5/18,4,3:40,23
Step Back Jump shot,Made Shot,2PT Field Goal,12/5/18,4,3:12,17
Running Jump Shot,Missed Shot,3PT Field Goal,12/7/18,1,10:14,27
Reverse Layup Shot,Made Shot,2PT Field Goal,12/7/18,1,9:52,0
Pullup Jump shot,Made Shot,2PT Field Goal,12/7/18,1,5:34,10
Jump Shot,Missed Shot,3PT Field Goal,12/7/18,1,5:14,27
Jump Shot,Made Shot,3PT Field Goal,12/7/18,2,11:43,26
Jump Shot,Made Shot,2PT Field Goal,12/7/18,2,10:51,13
Pullup Jump shot,Missed Shot,2PT Field Goal,12/7/18,2,10:12,18
Jump Shot,Made Shot,3PT Field Goal,12/7/18,2,8:53,27
Pullup Jump shot,Missed Shot,2PT Field Goal,12/7/18,2,8:23,18
Jump Shot,Missed Shot,3PT Field Goal,12/7/18,2,8:18,24
Floating Jump shot,Missed Shot,2PT Field Goal,12/7/18,2,7:15,7
Pullup Jump shot,Missed Shot,3PT Field Goal,12/7/18,3,10:04,28
Jump Shot,Made Shot,3PT Field Goal,12/7/18,3,8:00,26
Jump Shot,Made Shot,2PT Field Goal,12/7/18,3,5:30,14
Jump Shot,Missed Shot,3PT Field Goal,12/7/18,4,11:08,25
Pullup Jump shot,Made Shot,3PT Field Goal,12/7/18,4,10:18,26
Turnaround Jump Shot,Missed Shot,2PT Field Goal,12/10/18,1,10:11,11
Pullup Jump shot,Made Shot,2PT Field Goal,12/10/18,1,8:48,21
Jump Shot,Missed Shot,3PT Field Goal,12/10/18,1,8:30,22
Turnaround Jump Shot,Missed Shot,2PT Field Goal,12/10/18,1,5:10,5
Step Back Jump shot,Missed Shot,2PT Field Goal,12/10/18,1,5:05,11
Pullup Jump shot,Missed Shot,2PT Field Goal,12/10/18,2,11:36,19
Pullup Jump shot,Made Shot,3PT Field Goal,12/10/18,2,10:25,23
Pullup Jump shot,Made Shot,2PT Field Goal,12/10/18,2,9:46,20
Pullup Jump shot,Made Shot,3PT Field Goal,12/10/18,2,7:33,25
Cutting Finger Roll Layup Shot,Missed Shot,2PT Field Goal,12/10/18,2,3:18,5
Jump Shot,Missed Shot,3PT Field Goal,12/10/18,2,2:03,26
Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,12/10/18,2,0:01,29
Step Back Jump shot,Missed Shot,2PT Field Goal,12/10/18,3,10:15,13
Floating Jump shot,Missed Shot,2PT Field Goal,12/10/18,3,9:05,6
Jump Shot,Missed Shot,3PT Field Goal,12/10/18,3,6:16,27
Step Back Jump shot,Made Shot,2PT Field Goal,12/10/18,3,5:13,14
Jump Shot,Missed Shot,2PT Field Goal,12/10/18,4,11:42,9
Jump Shot,Missed Shot,2PT Field Goal,12/10/18,4,11:10,17
Jump Shot,Made Shot,3PT Field Goal,12/10/18,4,7:01,26
Layup Shot,Missed Shot,2PT Field Goal,12/10/18,4,3:23,3
Jump Shot,Missed Shot,2PT Field Goal,12/10/18,4,2:04,18
Cutting Layup Shot,Made Shot,2PT Field Goal,12/10/18,4,1:29,1
Jump Shot,Missed Shot,3PT Field Goal,12/12/18,1,11:25,26
Layup Shot,Missed Shot,2PT Field Goal,12/12/18,1,8:37,2
Jump Shot,Missed Shot,3PT Field Goal,12/12/18,1,6:28,25
Driving Reverse Layup Shot,Made Shot,2PT Field Goal,12/12/18,1,4:49,1
Floating Jump shot,Made Shot,2PT Field Goal,12/12/18,1,3:45,12
Jump Shot,Missed Shot,2PT Field Goal,12/12/18,2,11:47,17
Jump Shot,Missed Shot,3PT Field Goal,12/12/18,2,11:14,24
Jump Shot,Missed Shot,3PT Field Goal,12/12/18,2,10:02,26
Layup Shot,Made Shot,2PT Field Goal,12/12/18,2,9:35,2
Reverse Layup Shot,Missed Shot,2PT Field Goal,12/12/18,2,8:21,3
Fadeaway Jump Shot,Made Shot,2PT Field Goal,12/12/18,2,8:17,21
Jump Shot,Missed Shot,3PT Field Goal,12/12/18,2,0:02,23
Jump Shot,Missed Shot,2PT Field Goal,12/12/18,3,10:14,9
Pullup Jump shot,Made Shot,2PT Field Goal,12/12/18,3,7:44,15
Step Back Jump shot,Missed Shot,2PT Field Goal,12/12/18,3,6:20,12
Driving Floating Bank Jump Shot,Made Shot,2PT Field Goal,12/12/18,3,5:44,12
Step Back Jump shot,Made Shot,2PT Field Goal,12/12/18,3,3:02,18
Driving Layup Shot,Made Shot,2PT Field Goal,12/14/18,1,9:23,1
Step Back Jump shot,Made Shot,2PT Field Goal,12/14/18,1,6:55,21
Step Back Jump shot,Missed Shot,2PT Field Goal,12/14/18,1,5:59,15
Pullup Jump shot,Made Shot,3PT Field Goal,12/14/18,1,4:05,27
Jump Shot,Missed Shot,3PT Field Goal,12/14/18,1,3:31,27
Jump Shot,Missed Shot,3PT Field Goal,12/14/18,1,2:43,24
Driving Floating Bank Jump Shot,Missed Shot,2PT Field Goal,12/14/18,1,1:47,10
Jump Shot,Made Shot,2PT Field Goal,12/14/18,2,6:08,20
Fadeaway Jump Shot,Made Shot,2PT Field Goal,12/14/18,2,5:35,12
Jump Shot,Missed Shot,3PT Field Goal,12/14/18,2,4:36,24
Jump Shot,Missed Shot,3PT Field Goal,12/14/18,2,3:43,25
Jump Shot,Made Shot,3PT Field Goal,12/14/18,2,2:37,22
Cutting Layup Shot,Missed Shot,2PT Field Goal,12/14/18,2,1:52,2
Jump Shot,Missed Shot,3PT Field Goal,12/14/18,2,1:45,24
Running Dunk Shot,Made Shot,2PT Field Goal,12/14/18,3,10:16,1
Jump Shot,Missed Shot,3PT Field Goal,12/14/18,3,9:14,22
Layup Shot,Made Shot,2PT Field Goal,12/14/18,3,9:09,0
Jump Shot,Missed Shot,2PT Field Goal,12/14/18,3,8:51,16
Jump Shot,Missed Shot,2PT Field Goal,12/14/18,3,8:46,22
Fadeaway Jump Shot,Made Shot,3PT Field Goal,12/14/18,3,7:15,24
Dunk Shot,Missed Shot,2PT Field Goal,12/14/18,3,5:35,2
Jump Shot,Missed Shot,2PT Field Goal,12/14/18,4,11:19,18
Jump Shot,Missed Shot,3PT Field Goal,12/14/18,4,10:28,24
Driving Layup Shot,Missed Shot,2PT Field Goal,12/14/18,4,9:22,3
Jump Shot,Missed Shot,2PT Field Goal,12/14/18,4,10:20,12
Jump Shot,Missed Shot,3PT Field Goal,12/14/18,4,4:00,23
Jump Shot,Made Shot,3PT Field Goal,12/14/18,4,0:39,26
Pullup Jump shot,Made Shot,2PT Field Goal,12/17/18,1,11:44,18
Jump Shot,Missed Shot,3PT Field Goal,12/17/18,1,10:35,26
Jump Shot,Made Shot,2PT Field Goal,12/17/18,1,9:59,9
Jump Shot,Missed Shot,2PT Field Goal,12/17/18,1,9:31,16
Jump Shot,Missed Shot,3PT Field Goal,12/17/18,1,2:38,25
Jump Shot,Made Shot,2PT Field Goal,12/17/18,2,6:36,22
Pullup Jump shot,Made Shot,2PT Field Goal,12/17/18,2,4:42,16
Jump Shot,Missed Shot,3PT Field Goal,12/17/18,2,3:30,26
Driving Reverse Layup Shot,Missed Shot,2PT Field Goal,12/17/18,2,2:09,1
Step Back Jump shot,Made Shot,2PT Field Goal,12/17/18,3,9:40,14
Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,12/17/18,4,3:35,27
Fadeaway Jump Shot,Missed Shot,2PT Field Goal,12/19/18,1,10:49,16
Turnaround Jump Shot,Made Shot,2PT Field Goal,12/19/18,1,7:10,9
Jump Shot,Missed Shot,3PT Field Goal,12/19/18,2,0:20,24
Floating Jump shot,Missed Shot,2PT Field Goal,12/19/18,3,11:47,11
Jump Shot,Missed Shot,3PT Field Goal,12/19/18,3,10:20,25
Step Back Jump shot,Made Shot,2PT Field Goal,12/19/18,3,8:55,19
Driving Floating Jump Shot,Missed Shot,2PT Field Goal,12/19/18,3,8:19,9
Jump Shot,Missed Shot,3PT Field Goal,12/19/18,3,7:55,24
Step Back Jump shot,Missed Shot,2PT Field Goal,12/19/18,3,7:50,18
Pullup Jump shot,Made Shot,2PT Field Goal,12/19/18,3,2:56,14
Pullup Jump shot,Missed Shot,3PT Field Goal,12/19/18,3,2:35,25
Fadeaway Jump Shot,Missed Shot,2PT Field Goal,12/19/18,3,1:38,15
